ORL,Away,Loss,WAS,Home
WAS,Home,Win,ORL,Away
DAL,Away,Loss,MIA,Home
MIA,Home,Win,DAL,Away
CHA,Away,Loss,TOR,Home
TOR,Home,Win,CHA,Away
NY,Away,Loss,CHI,Home
CHI,Home,Win,NY,Away
PHI,Away,Loss,LAL,Home
LAL,Home,Win,PHI,Away
BKN,Away,Win,BOS,Home
BOS,Home,Loss,BKN,Away
PHO,Away,Loss,SAC,Home
SAC,Home,Win,PHO,Away
OKC,Away,Win,CHA,Home
CHA,Home,Loss,OKC,Away
DET,Away,Loss,IND,Home
IND,Home,Win,DET,Away
ORL,Away,Loss,CLE,Home
CLE,Home,Win,ORL,Away
MIL,Away,Win,MIN,Home
MIN,Home,Loss,MIL,Away
NO,Away,Win,DAL,Home
DAL,Home,Loss,NO,Away
HOU,Away,Loss,SA,Home
SA,Home,Win,HOU,Away
MEM,Away,Loss,UTA,Home
UTA,Home,Win,MEM,Away
DEN,Away,Loss,GS,Home
GS,Home,Win,DEN,Away
PHI,Away,Loss,LAC,Home
LAC,Home,Win,PHI,Away
ATL,Away,Loss,NY,Home
NY,Home,Win,ATL,Away
CHI,Away,Win,TOR,Home
TOR,Home,Loss,CHI,Away
MIA,Away,Win,WAS,Home
WAS,Home,Loss,MIA,Away
POR,Away,Win,DEN,Home
DEN,Home,Loss,POR,Away
PHO,Away,Loss,LAL,Home
LAL,Home,Win,PHO,Away
TOR,Away,Loss,CLE,Home
CLE,Home,Win,TOR,Away
MIN,Away,Loss,PHI,Home
PHI,Home,Win,MIN,Away
BOS,Away,Win,BKN,Home
BKN,Home,Loss,BOS,Away
ORL,Away,Loss,DET,Home
DET,Home,Win,ORL,Away
IND,Away,Loss,MIA,Home
MIA,Home,Win,IND,Away
SA,Away,Win,MIL,Home
MIL,Home,Loss,SA,Away
SAC,Away,Win,OKC,Home
OKC,Home,Loss,SAC,Away
HOU,Away,Win,UTA,Home
UTA,Home,Loss,HOU,Away
MEM,Away,Win,POR,Home
POR,Home,Loss,MEM,Away
CHA,Away,Loss,GS,Home
GS,Home,Win,CHA,Away
NY,Away,Win,ATL,Home
ATL,Home,Loss,NY,Away
MIL,Away,Loss,CHI,Home
CHI,Home,Win,MIL,Away
SAC,Away,Loss,DAL,Home
DAL,Home,Win,SAC,Away
GS,Away,Win,LAL,Home
LAL,Home,Loss,GS,Away
NY,Away,Win,MIA,Home
MIA,Home,Loss,NY,Away
IND,Away,Win,ORL,Home
ORL,Home,Loss,IND,Away
CLE,Away,Win,WAS,Home
WAS,Home,Loss,CLE,Away
DET,Away,Win,BOS,Home
BOS,Home,Loss,DET,Away
TOR,Away,Win,BKN,Home
BKN,Home,Loss,TOR,Away
DEN,Away,Win,MIN,Home
MIN,Home,Loss,DEN,Away
DAL,Away,Win,NO,Home
NO,Home,Loss,DAL,Away
UTA,Away,Loss,SA,Home
SA,Home,Win,UTA,Away
CHA,Away,Loss,PHO,Home
PHO,Home,Win,CHA,Away
MEM,Away,Loss,OKC,Home
OKC,Home,Win,MEM,Away
LAC,Away,Win,POR,Home
POR,Home,Loss,LAC,Away
ATL,Away,Win,PHI,Home
PHI,Home,Loss,ATL,Away
BOS,Away,Loss,CHI,Home
CHI,Home,Win,BOS,Away
UTA,Away,Loss,HOU,Home
HOU,Home,Win,UTA,Away
LAL,Away,Loss,SAC,Home
SAC,Home,Win,LAL,Away
TOR,Away,Win,WAS,Home
WAS,Home,Loss,TOR,Away
ORL,Away,Win,BKN,Home
BKN,Home,Loss,ORL,Away
DEN,Away,Loss,MEM,Home
MEM,Home,Win,DEN,Away
DAL,Away,Loss,MIL,Home
MIL,Home,Win,DAL,Away
CLE,Away,Win,MIN,Home
MIN,Home,Loss,CLE,Away
IND,Away,Win,NO,Home
NO,Home,Loss,IND,Away
NY,Away,Loss,SA,Home
SA,Home,Win,NY,Away
MIA,Away,Win,PHO,Home
PHO,Home,Loss,MIA,Away
GS,Away,Win,POR,Home
POR,Home,Loss,GS,Away
OKC,Away,Win,LAL,Home
LAL,Home,Loss,OKC,Away
CHA,Away,Loss,LAC,Home
LAC,Home,Win,CHA,Away
CHI,Away,Loss,ATL,Home
ATL,Home,Win,CHI,Away
WAS,Away,Win,ORL,Home
ORL,Home,Loss,WAS,Away
BKN,Away,Loss,DET,Home
DET,Home,Win,BKN,Away
TOR,Away,Win,PHI,Home
PHI,Home,Loss,TOR,Away
MIA,Away,Loss,UTA,Home
UTA,Home,Win,MIA,Away
GS,Away,Win,SAC,Home
SAC,Home,Loss,GS,Away
NO,Away,Loss,LAC,Home
LAC,Home,Win,NO,Away
DAL,Away,Win,MIN,Home
MIN,Home,Loss,DAL,Away
BOS,Away,Loss,MEM,Home
MEM,Home,Win,BOS,Away
CLE,Away,Win,PHI,Home
PHI,Home,Loss,CLE,Away
IND,Away,Loss,HOU,Home
HOU,Home,Win,IND,Away
MIL,Away,Loss,NY,Home
NY,Home,Win,MIL,Away
CHA,Away,Loss,DEN,Home
DEN,Home,Win,CHA,Away
OKC,Away,Loss,POR,Home
POR,Home,Win,OKC,Away
UTA,Away,Win,LAL,Home
LAL,Home,Loss,UTA,Away
SA,Away,Win,BKN,Home
BKN,Home,Loss,SA,Away
WAS,Away,Win,CHI,Home
CHI,Home,Loss,WAS,Away
MIA,Away,Loss,GS,Home
GS,Home,Win,MIA,Away
PHO,Away,Loss,IND,Home
IND,Home,Win,PHO,Away
SA,Away,Win,DET,Home
DET,Home,Loss,SA,Away
BOS,Away,Loss,NY,Home
NY,Home,Win,BOS,Away
HOU,Away,Win,MEM,Home
MEM,Home,Loss,HOU,Away
CHI,Away,Loss,MIL,Home
MIL,Home,Win,CHI,Away
OKC,Away,Win,MIN,Home
MIN,Home,Loss,OKC,Away
CLE,Away,Win,DAL,Home
DAL,Home,Loss,CLE,Away
NO,Away,Loss,LAL,Home
LAL,Home,Win,NO,Away
ATL,Away,Loss,CHA,Home
CHA,Home,Win,ATL,Away
MIL,Away,Loss,WAS,Home
WAS,Home,Win,MIL,Away
NY,Away,Loss,BKN,Home
BKN,Home,Win,NY,Away
IND,Away,Loss,BOS,Home
BOS,Home,Win,IND,Away
MIN,Away,Loss,HOU,Home
HOU,Home,Win,MIN,Away
DAL,Away,Loss,OKC,Home
OKC,Home,Win,DAL,Away
GS,Away,Loss,DEN,Home
DEN,Home,Win,GS,Away
UTA,Away,Loss,POR,Home
POR,Home,Win,UTA,Away
NO,Away,Win,SAC,Home
SAC,Home,Loss,NO,Away
MIA,Away,Loss,LAC,Home
LAC,Home,Win,MIA,Away
TOR,Away,Win,ORL,Home
ORL,Home,Loss,TOR,Away
CHI,Away,Win,PHI,Home
PHI,Home,Loss,CHI,Away
DET,Away,Loss,MEM,Home
MEM,Home,Win,DET,Away
CLE,Away,Loss,SA,Home
SA,Home,Win,CLE,Away
SAC,Away,Win,UTA,Home
UTA,Home,Loss,SAC,Away
LAL,Away,Loss,GS,Home
GS,Home,Win,LAL,Away
WAS,Away,Win,IND,Home
IND,Home,Loss,WAS,Away
MIN,Away,Loss,OKC,Home
OKC,Home,Win,MIN,Away
PHO,Away,Loss,BOS,Home
BOS,Home,Win,PHO,Away
POR,Away,Win,BKN,Home
BKN,Home,Loss,POR,Away
DAL,Away,Win,CHI,Home
CHI,Home,Loss,DAL,Away
ATL,Away,Loss,MIL,Home
MIL,Home,Win,ATL,Away
CHA,Away,Loss,NO,Home
NO,Home,Win,CHA,Away
MIA,Away,Win,DEN,Home
DEN,Home,Loss,MIA,Away
CLE,Away,Win,HOU,Home
HOU,Home,Loss,CLE,Away
MIL,Away,Win,CHA,Home
CHA,Home,Loss,MIL,Away
BOS,Away,Win,WAS,Home
WAS,Home,Loss,BOS,Away
BKN,Away,Loss,ATL,Home
ATL,Home,Win,BKN,Away
GS,Away,Loss,DET,Home
DET,Home,Win,GS,Away
POR,Away,Loss,PHI,Home
PHI,Home,Win,POR,Away
NY,Away,Loss,MEM,Home
MEM,Home,Win,NY,Away
LAL,Away,Loss,UTA,Home
UTA,Home,Win,LAL,Away
SAC,Away,Win,LAC,Home
LAC,Home,Loss,SAC,Away
PHO,Away,Loss,MIN,Home
MIN,Home,Win,PHO,Away
MIA,Away,Loss,OKC,Home
OKC,Home,Win,MIA,Away
DAL,Away,Loss,SA,Home
SA,Home,Win,DAL,Away
IND,Away,Loss,DEN,Home
DEN,Home,Win,IND,Away
HOU,Away,Win,LAL,Home
LAL,Home,Loss,HOU,Away
PHI,Away,Loss,NY,Home
NY,Home,Win,PHI,Away
UTA,Away,Loss,CHA,Home
CHA,Home,Win,UTA,Away
POR,Away,Win,WAS,Home
WAS,Home,Loss,POR,Away
NO,Away,Loss,MEM,Home
MEM,Home,Win,NO,Away
CHI,Away,Win,DET,Home
DET,Home,Loss,CHI,Away
ORL,Away,Loss,ATL,Home
ATL,Home,Win,ORL,Away
BKN,Away,Loss,TOR,Home
TOR,Home,Win,BKN,Away
GS,Away,Win,CLE,Home
CLE,Home,Loss,GS,Away
BOS,Away,Loss,DAL,Home
DAL,Home,Win,BOS,Away
HOU,Away,Loss,LAC,Home
LAC,Home,Win,HOU,Away
MIL,Away,Win,MIA,Home
MIA,Home,Loss,MIL,Away
MIN,Away,Loss,NO,Home
NO,Home,Win,MIN,Away
OKC,Away,Win,DEN,Home
DEN,Home,Loss,OKC,Away
IND,Away,Win,PHO,Home
PHO,Home,Loss,IND,Away
PHI,Away,Win,ORL,Home
ORL,Home,Loss,PHI,Away
MIA,Away,Loss,WAS,Home
WAS,Home,Win,MIA,Away
CLE,Away,Win,BKN,Home
BKN,Home,Loss,CLE,Away
UTA,Away,Loss,NY,Home
NY,Home,Win,UTA,Away
BOS,Away,Loss,TOR,Home
TOR,Home,Win,BOS,Away
GS,Away,Win,CHI,Home
CHI,Home,Loss,GS,Away
DET,Away,Win,HOU,Home
HOU,Home,Loss,DET,Away
CHA,Away,Loss,OKC,Home
OKC,Home,Win,CHA,Away
MIN,Away,Loss,DAL,Home
DAL,Home,Win,MIN,Away
SAC,Away,Win,LAL,Home
LAL,Home,Loss,SAC,Away
ATL,Away,Win,POR,Home
POR,Home,Loss,ATL,Away
LAC,Away,Loss,CLE,Home
CLE,Home,Win,LAC,Away
DET,Away,Loss,NO,Home
NO,Home,Win,DET,Away
MEM,Away,Win,DEN,Home
DEN,Home,Loss,MEM,Away
ATL,Away,Loss,SAC,Home
SAC,Home,Win,ATL,Away
SA,Away,Win,PHO,Home
PHO,Home,Loss,SA,Away
CHA,Away,Win,ORL,Home
ORL,Home,Loss,CHA,Away
CHI,Away,Loss,BOS,Home
BOS,Home,Win,CHI,Away
UTA,Away,Win,BKN,Home
BKN,Home,Loss,UTA,Away
LAC,Away,Win,NY,Home
NY,Home,Loss,LAC,Away
MIL,Away,Loss,HOU,Home
HOU,Home,Win,MIL,Away
MIA,Away,Loss,TOR,Home
TOR,Home,Win,MIA,Away
OKC,Away,Win,DAL,Home
DAL,Home,Loss,OKC,Away
IND,Away,Loss,GS,Home
GS,Home,Win,IND,Away
SA,Away,Win,LAL,Home
LAL,Home,Loss,SA,Away
NY,Away,Loss,CHA,Home
CHA,Home,Win,NY,Away
MIL,Away,Loss,NO,Home
NO,Home,Win,MIL,Away
MEM,Away,Loss,MIN,Home
MIN,Home,Win,MEM,Away
CHI,Away,Win,CLE,Home
CLE,Home,Loss,CHI,Away
ATL,Away,Loss,PHO,Home
PHO,Home,Win,ATL,Away
DET,Away,Loss,DEN,Home
DEN,Home,Win,DET,Away
LAL,Away,Loss,POR,Home
